date,Snow,Reservoirs,ANT,BLB,BRD,BUC,BUL,CAS,CCH,CHV,CLE,CMN,COY,DAV,DNN,DNP,DON,ENG,EXC,FOL,FRD,HID,HTH,ICH,INP,INV,ISB,KES,LEW,LON,MIL,NAT,NHG,NML,ORO,PAR,PNF,PRR,PYM,SCC,SHA,SNL,STP,TRM,TUL,UNV,WHI,WRS
11/10/03,100063.8735,"15,057,039",16062,31908,75657,17188,599652,,,217872,1719040,284800,56086,47311,4134,1442063,21948,64555,390683,541698,25525,9517,244010,29905,15387,147800,149825,21946,14195,35658,216737,7993,100360,1270422,2144834,168520,157750,,,4830,3081882,1008784,,6698,54930,176361,226442,206071
11/11/03,88244.48862,"15,052,489",16016,31945,75586,17181,598629,,,217705,1716674,284800,56008,47267,4032,1443060,21889,64632,390373,539539,25525,9534,242642,29811,15359,147828,149825,21823,14263,35342,216442,8031,100293,1271262,2138064,168400,158439,,,4911,3084192,1018738,,6886,54268,176060,223379,205836
11/12/03,384170.1372,"15,041,056",16009,31964,75566,17175,597432,,,217538,1714702,284804,55867,47223,3937,1444058,21766,64593,389627,536964,25534,9543,241110,29772,15311,147842,149770,21489,14270,35153,216353,8158,100226,1271346,2129209,168370,158929,,,4973,3085346,1026199,,7033,54225,174919,221197,205554
11/13/03,355938.6784,"15,040,560",15971,32001,75333,17168,596516,,,217208,1712205,284555,55758,47228,3858,1445056,21883,64685,389481,535147,25515,9548,239750,29727,15257,147856,149714,21659,14345,35069,216383,8181,100204,1272270,2123467,168830,159375,,,5036,3085115,1040262,,7217,53595,173806,219053,205273
11/14/03,340060.8643,"15,043,297",15948,32056,75100,17168,595953,,,216883,1710369,284303,55727,47234,3804,1445056,21997,64440,388671,534324,25515,9552,238393,29727,15209,147815,149605,21793,14315,35049,216353,8148,100159,1270926,2119057,168758,159755,,,5112,3088579,1052759,,7398,54567,173699,216865,205156
11/15/03,451850.8906,"15,056,032",15910,32074,74880,17168,596199,,,216557,1709061,284050,55742,47240,3757,1446055,22160,63922,388416,532843,25525,9565,237379,29700,15162,147772,149440,21884,14203,35007,216353,8176,100114,1270590,2115534,168710,160113,,,5176,3096893,1065510,,7559,55997,173913,214778,204945
11/16/03,434013.5831,"15,065,966",15880,32130,74776,17162,595812,,,216069,1709061,283800,55789,47246,3694,1447055,22133,63815,387833,530291,25554,9569,237379,29661,15128,147800,149385,22063,14188,34891,216294,8205,100070,1271346,2115644,168830,160897,,,5261,3098513,1078721,,7744,55455,173657,212430,204735
11/17/03,962900.0444,"15,063,058",15849,32186,74530,17162,595109,,,215255,1709323,283800,55851,47252,3655,1448055,22247,63944,387286,527905,25515,9583,237210,29617,15053,147772,149440,21538,14248,34881,216235,8162,100070,1272186,2111136,168790,161549,,,5342,3099210,1084781,,7905,54930,173187,210784,204525
11/18/03,922429.2514,"15,058,215",15826,32260,74279,17155,594440,,,214442,1709585,283550,56023,47238,3608,1448055,22370,63967,386602,525623,25515,9600,237210,29561,15033,147828,149440,20728,14278,34849,216176,8209,100003,1273025,2107403,168750,162382,,,5415,3098978,1090234,,8065,54385,172273,209561,204291
11/19/03,815844.8133,"15,061,474",15804,32297,74034,17155,593527,,,213791,1709715,283550,56132,47223,3530,1449055,22490,63944,386602,523747,25515,9609,237379,29523,14951,147800,149440,20776,14292,34818,216117,8252,99936,1271934,2104771,168690,163240,,,5485,3101067,1097554,,8224,55823,171786,207838,204058
