04/14/2015,Reservoircapacityupdatedfrom77,600to97,800frominformationfoundathttp://ce-npdp-serv2.stanford.edu/DamDirectory/DamDetail.jsp?npdp_id=CA00263,
Date,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,PPTINC , ,,
 ,AF, ,AF, ,CFS, ,INCHES, ,
02/16/2004,38928,,-483,,552,,0.32,,
02/17/2004,38733,,--,,462,,0.99,,
02/18/2004,38543,,-190,,453,,1.71,,
02/19/2004,38303,,-240,,452,,0.25,,
02/20/2004,38140,,-163,,448,,0.00,,
02/21/2004,37886,,-254,,454,,0.02,,
02/22/2004,37845,,-41,,457,,0.08,,
02/23/2004,37850,,5,,460,,0.18,,
02/24/2004,37789,,-61,,462,,0.15,,
02/25/2004,37661,,-128,,494,,0.59,,
02/26/2004,37860,,199,,547,,2.17,,
02/27/2004,37743,,-117,,547,,0.36,,
02/28/2004,37185,,-558,,546,,0.05,,
02/29/2004,37058,,-127,,544,,0.00,,
03/01/2004,36978,,-80,,544,,0.00,,
03/02/2004,36801,,-177,,543,,0.08,,
03/03/2004,36443,,-358,,542,,0.00,,
03/04/2004,35956,,-487,,541,,0.00,,
03/05/2004,35835,,-121,,540,,0.00,,
03/06/2004,35525,,-310,,539,,0.00,,
03/07/2004,35182,,-343,,537,,0.00,,
03/08/2004,35018,,-164,,537,,0.00,,
03/09/2004,34938,,-80,,536,,0.00,,
03/10/2004,35182,,244,,537,,0.00,,
03/11/2004,35510,,328,,538,,0.00,,
03/12/2004,35976,,466,,539,,0.00,,
03/13/2004,36468,,492,,541,,0.00,,
03/14/2004,37210,,742,,543,,0.00,,
03/15/2004,38032,,822,,547,,0.00,,
03/16/2004,39169,,1137,,551,,0.00,,
03/17/2004,40333,,1164,,555,,0.00,,
03/18/2004,41580,,1247,,559,,0.00,,
03/19/2004,42829,,1249,,564,,0.00,,
03/20/2004,44017,,1188,,568,,0.00,,
03/21/2004,45339,,1322,,572,,0.00,,
03/22/2004,46713,,1374,,576,,0.00,,
03/23/2004,48062,,1349,,581,,0.00,,
03/24/2004,49324,,1262,,585,,0.00,,
03/25/2004,50508,,1184,,589,,0.00,,
03/26/2004,51550,,1042,,592,,0.99,,
03/27/2004,52485,,935,,595,,0.00,,
03/28/2004,53391,,906,,598,,0.00,,
03/29/2004,54355,,964,,601,,0.00,,
03/30/2004,55377,,1022,,603,,0.00,,
03/31/2004,56347,,970,,607,,0.00,,
04/01/2004,57294,,947,,608,,0.00,,
04/02/2004,58170,,--,,608,,0.00,,
04/03/2004,59057,,887,,611,,0.00,,
04/04/2004,59543,,486,,566,,0.00,,
04/05/2004,60893,,1350,,615,,0.00,,
04/06/2004,61830,,937,,618,,0.00,,
04/07/2004,62608,,778,,620,,0.00,,
04/08/2004,62226,,-382,,622,,0.00,,
04/09/2004,63439,,1213,,623,,0.00,,
04/10/2004,63907,,468,,623,,0.00,,
04/11/2004,64268,,361,,625,,0.00,,
04/12/2004,64825,,557,,626,,0.00,,
04/13/2004,65359,,534,,627,,0.00,,
04/14/2004,65876,,517,,629,,0.00,,
04/15/2004,66593,,717,,630,,0.00,,
04/16/2004,67230,,637,,632,,0.00,,
04/17/2004,67349,,119,,632,,0.00,,
04/18/2004,67448,,99,,632,,0.01,,
04/19/2004,67977,,529,,634,,0.08,,
04/20/2004,68501,,524,,635,,0.05,,
04/21/2004,69071,,--,,636,,0.03,,
04/22/2004,69801,,730,,557,,0.00,,
04/23/2004,70002,,201,,577,,0.00,,
04/24/2004,69983,,-19,,643,,0.00,,
04/25/2004,70097,,114,,643,,0.00,,
04/26/2004,70235,,138,,643,,0.00,,
04/27/2004,70331,,96,,643,,0.00,,
04/28/2004,70476,,145,,644,,0.00,,
04/29/2004,70501,,25,,644,,0.00,,
04/30/2004,70685,,184,,644,,0.00,,
05/01/2004,70488,,-197,,645,,0.00,,
05/02/2004,70513,,25,,644,,0.00,,
05/03/2004,70362,,-151,,644,,0.00,,
05/04/2004,70444,,82,,644,,0.00,,
05/05/2004,70716,,272,,645,,0.00,,
05/06/2004,70748,,32,,645,,0.00,,
05/07/2004,70678,,-70,,--,,--,,
05/08/2004,70406,,-272,,--,,--,,
05/09/2004,70406,,0,,501,,0.00,,
05/10/2004,70261,,-145,,500,,0.00,,
05/11/2004,70065,,-196,,502,,0.00,,
05/12/2004,70053,,-12,,502,,0.00,,
05/13/2004,70103,,50,,504,,0.00,,
05/14/2004,69964,,--,,504,,0.00,,
05/15/2004,69899,,-65,,505,,0.00,,
05/16/2004,69731,,-168,,505,,0.00,,
05/17/2004,69706,,-25,,505,,0.00,,
05/18/2004,69738,,32,,505,,0.00,,
05/19/2004,69801,,63,,504,,0.00,,
05/20/2004,69900,,99,,--,,--,,
05/21/2004,70558,,658,,504,,0.00,,
05/22/2004,71115,,557,,533,,0.00,,
05/23/2004,71661,,546,,546,,0.00,,
05/24/2004,72202,,541,,530,,0.00,,
05/25/2004,72771,,569,,531,,0.00,,
05/26/2004,73315,,544,,528,,0.00,,
05/27/2004,73424,,109,,505,,0.00,,
05/28/2004,73585,,161,,466,,0.55,,
05/29/2004,73854,,269,,503,,0.00,,
05/30/2004,74137,,283,,507,,0.00,,
05/31/2004,74659,,522,,507,,0.00,,
06/01/2004,75183,,524,,506,,0.00,,
06/02/2004,76060,,877,,505,,0.00,,
06/03/2004,77313,,1253,,506,,0.00,,
06/04/2004,78397,,1084,,506,,0.00,,
06/05/2004,79447,,1050,,508,,0.00,,
06/06/2004,80515,,1068,,507,,0.00,,
06/07/2004,81622,,1107,,504,,0.00,,
06/08/2004,82521,,899,,506,,0.00,,
06/09/2004,83242,,721,,522,,0.00,,
06/10/2004,83741,,499,,505,,0.00,,
06/11/2004,84209,,468,,509,,0.00,,
06/12/2004,84677,,468,,506,,0.00,,
06/13/2004,85153,,476,,505,,0.00,,
06/14/2004,85623,,470,,505,,0.00,,
06/15/2004,85596,,-27,,505,,0.00,,
06/16/2004,85536,,-60,,502,,0.00,,
06/17/2004,86204,,668,,305,,0.00,,
06/18/2004,86772,,568,,459,,0.00,,
06/19/2004,87342,,570,,457,,0.00,,
06/20/2004,87193,,-149,,456,,0.00,,
06/21/2004,88390,,1197,,457,,0.00,,
06/22/2004,88604,,214,,458,,0.00,,
06/23/2004,88937,,333,,495,,0.00,,
