05/29/2015,ThereservoircapacitywasupdatedMay2015withinformationfromtheUSBR,
Date,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,
 ,AF, ,AF, ,CFS, ,
01/24/2005,12385,,159,,149,,
01/25/2005,12763,,378,,92,,
01/26/2005,13206,,443,,132,,
01/27/2005,13391,,185,,194,,
01/28/2005,13307,,-84,,224,,
01/29/2005,13228,,-79,,265,,
01/30/2005,13147,,-81,,250,,
01/31/2005,13017,,-130,,278,,
02/01/2005,12847,,-170,,287,,
02/02/2005,12546,,-301,,345,,
02/03/2005,12341,,-205,,295,,
02/04/2005,12267,,-74,,237,,
02/05/2005,12267,,0,,223,,
02/06/2005,12459,,192,,118,,
02/07/2005,12299,,-160,,315,,
02/08/2005,12028,,-271,,359,,
02/09/2005,11771,,-257,,304,,
02/10/2005,11558,,-213,,292,,
02/11/2005,11365,,-193,,278,,
02/12/2005,11677,,312,,71,,
02/13/2005,11885,,208,,153,,
02/14/2005,12013,,128,,163,,
02/15/2005,12194,,181,,159,,
02/16/2005,12267,,73,,281,,
02/17/2005,12368,,101,,254,,
02/18/2005,12682,,314,,101,,
02/19/2005,12987,,305,,107,,
02/20/2005,13222,,235,,162,,
02/21/2005,13600,,378,,72,,
02/22/2005,13801,,201,,136,,
02/23/2005,13972,,171,,161,,
02/24/2005,14043,,71,,218,,
02/25/2005,13891,,-152,,381,,
02/26/2005,14104,,213,,134,,
02/27/2005,14257,,153,,153,,
02/28/2005,14312,,55,,225,,
03/01/2005,14126,,-186,,333,,
03/02/2005,13727,,-399,,461,,
03/03/2005,13217,,-510,,460,,
03/04/2005,12559,,-658,,557,,
03/05/2005,12127,,-432,,486,,
03/06/2005,11442,,-685,,588,,
03/07/2005,10826,,-616,,548,,
03/08/2005,10322,,-504,,580,,
03/09/2005,10171,,-151,,469,,
03/10/2005,10085,,-86,,502,,
03/11/2005,10038,,-47,,596,,
03/12/2005,10244,,206,,502,,
03/13/2005,10553,,309,,472,,
03/14/2005,10579,,26,,621,,
03/15/2005,10085,,-494,,744,,
03/16/2005,9505,,-580,,751,,
03/17/2005,8832,,-673,,745,,
03/18/2005,8502,,-330,,531,,
03/19/2005,8214,,-288,,565,,
03/20/2005,7875,,-339,,596,,
03/21/2005,7410,,-465,,597,,
03/22/2005,7462,,52,,453,,
03/23/2005,7584,,122,,365,,
