Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
10/31/2004,430.75,,787850,,29817,,
11/01/2004,431.79,,797474,,--,,
11/02/2004,433.03,,809000,,11526,,
11/03/2004,434.61,,823769,,14769,,
11/04/2004,435.49,,832034,,8265,,
11/05/2004,436.28,,839478,,7444,,
11/06/2004,438.50,,860516,,21038,,
11/07/2004,439.94,,874256,,13740,,
11/08/2004,441.39,,888166,,13910,,
11/09/2004,442.59,,899734,,11568,,
11/10/2004,443.61,,909606,,9872,,
11/11/2004,444.59,,919125,,9519,,
11/12/2004,445.39,,926921,,7796,,
11/13/2004,446.64,,939145,,12224,,
11/14/2004,448.18,,954279,,15134,,
11/15/2004,448.72,,959605,,5326,,
11/16/2004,450.08,,973062,,13457,,
11/17/2004,451.24,,984590,,11528,,
11/18/2004,452.26,,994764,,10174,,
11/19/2004,453.29,,1005072,,10308,,
11/20/2004,454.58,,1018033,,12961,,
11/21/2004,455.90,,1031351,,13318,,
11/22/2004,456.33,,1035702,,4351,,
11/23/2004,456.50,,1037424,,1722,,
11/24/2004,456.28,,1035196,,-2228,,
11/25/2004,456.32,,1035601,,405,,
11/26/2004,456.60,,1038437,,2836,,
11/27/2004,456.82,,1040668,,2231,,
11/28/2004,457.97,,1052352,,11684,,
11/29/2004,457.87,,1051334,,-1018,,
11/30/2004,458.49,,1057649,,6315,,
12/01/2004,459.30,,1065919,,8270,,
12/02/2004,460.17,,1074824,,8905,,
12/03/2004,460.98,,1083137,,8313,,
12/04/2004,461.71,,1090646,,7509,,
12/05/2004,462.84,,1102304,,11658,,
12/06/2004,463.23,,1106337,,4033,,
12/07/2004,463.45,,1108614,,2277,,
12/08/2004,463.95,,1113795,,5181,,
12/09/2004,464.56,,1120126,,6331,,
12/10/2004,465.19,,1126678,,6552,,
12/11/2004,465.26,,1127406,,728,,
12/12/2004,465.64,,1131364,,3958,,
12/13/2004,465.25,,1127302,,-4062,,
12/14/2004,465.60,,1130948,,3646,,
12/15/2004,466.08,,1135953,,5005,,
12/16/2004,466.88,,1144312,,8359,,
12/17/2004,467.72,,1153110,,8798,,
12/18/2004,468.73,,1163717,,10607,,
12/19/2004,470.84,,1185978,,22261,,
12/20/2004,471.69,,1194983,,9005,,
12/21/2004,472.11,,1199441,,4458,,
12/22/2004,472.80,,1206776,,7335,,
12/23/2004,473.41,,1213272,,6496,,
12/24/2004,474.01,,1219673,,6401,,
