05/18/2015,ThecapacitywasrevisedinApril2015usingdatafromthe
SacramentoMunicipalUtilityDistrict,
Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
08/13/2004,4849.46,,220574,,-865,,
08/14/2004,4849.25,,220040,,-534,,
08/15/2004,4848.82,,218950,,-1090,,
08/16/2004,4848.39,,217866,,-1084,,
08/17/2004,4848.16,,217287,,-579,,
08/18/2004,4847.57,,215806,,-1481,,
08/19/2004,4847.33,,215206,,-600,,
08/20/2004,4846.74,,213737,,-1469,,
08/21/2004,4846.35,,212769,,-968,,
08/22/2004,4846.10,,212175,,-594,,
08/23/2004,4845.62,,210967,,-1208,,
08/24/2004,4845.22,,210008,,-959,,
08/25/2004,4844.71,,208735,,-1273,,
08/26/2004,4844.03,,207078,,-1657,,
08/27/2004,4843.66,,206182,,-896,,
08/28/2004,4843.25,,205191,,-991,,
08/29/2004,4842.82,,204155,,-1036,,
08/30/2004,4842.46,,203292,,-863,,
08/31/2004,4841.84,,201810,,-1482,,
09/01/2004,4841.20,,200290,,-1520,,
09/02/2004,4840.64,,198965,,-1325,,
09/03/2004,4840.05,,197577,,-1388,,
09/04/2004,4839.62,,196570,,-1007,,
09/05/2004,4839.05,,195240,,-1330,,
09/06/2004,4838.47,,193918,,-1322,,
09/07/2004,4837.82,,192394,,-1524,,
09/08/2004,4837.22,,191018,,-1376,,
09/09/2004,4836.52,,189420,,-1598,,
09/10/2004,4835.60,,187357,,-2063,,
09/11/2004,4834.75,,185423,,-1934,,
09/12/2004,4834.42,,184685,,-738,,
09/13/2004,4833.67,,183015,,-1670,,
09/14/2004,4832.95,,181424,,-1591,,
09/15/2004,4832.20,,179776,,-1648,,
09/16/2004,4831.37,,177965,,-1811,,
09/17/2004,4831.32,,177856,,-109,,
09/18/2004,4831.31,,177834,,-22,,
09/19/2004,4831.34,,177899,,65,,
09/20/2004,4830.39,,175844,,-2055,,
09/21/2004,4829.75,,174469,,-1375,,
09/22/2004,4828.68,,172188,,-2281,,
09/23/2004,4828.08,,170919,,-1269,,
09/24/2004,4827.17,,169006,,-1913,,
09/25/2004,4826.56,,167734,,-1272,,
09/26/2004,4826.20,,166986,,-748,,
09/27/2004,4825.51,,165559,,-1427,,
09/28/2004,4824.62,,163733,,-1826,,
09/29/2004,4824.18,,162835,,-898,,
09/30/2004,4823.85,,162164,,-671,,
10/01/2004,4823.38,,161212,,-952,,
