Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
12/04/2004,5928.15,,3228,,-7,,
12/05/2004,5928.14,,3220,,-8,,
12/06/2004,5928.15,,3228,,8,,
12/07/2004,5928.28,,3328,,100,,
12/08/2004,5928.48,,3484,,156,,
12/09/2004,5928.53,,3522,,38,,
12/10/2004,5928.56,,3546,,24,,
12/11/2004,5928.56,,3546,,0,,
12/12/2004,5928.56,,3546,,0,,
12/13/2004,5928.56,,3546,,0,,
12/14/2004,5928.55,,3538,,-8,,
12/15/2004,5928.54,,3530,,-8,,
12/16/2004,5928.52,,3515,,-15,,
12/17/2004,5928.50,,3499,,-16,,
12/18/2004,5928.49,,3492,,-7,,
12/19/2004,5928.47,,3476,,-16,,
12/20/2004,5928.46,,3468,,-8,,
12/21/2004,5928.43,,3445,,-23,,
12/22/2004,5928.42,,3437,,-8,,
12/23/2004,5928.41,,3429,,-8,,
12/24/2004,5928.39,,3414,,-15,,
12/25/2004,5928.35,,3383,,-31,,
12/26/2004,5928.34,,3375,,-8,,
12/27/2004,5928.34,,3375,,0,,
12/28/2004,5928.35,,3383,,8,,
12/29/2004,5928.41,,3429,,46,,
12/30/2004,5928.67,,3632,,203,,
12/31/2004,5928.77,,3710,,78,,
01/01/2005,5928.73,,3678,,-32,,
01/02/2005,5928.71,,3663,,-15,,
01/03/2005,5928.67,,3632,,-31,,
01/04/2005,5928.61,,3585,,-47,,
01/05/2005,5928.57,,3554,,-31,,
01/06/2005,5928.53,,3522,,-32,,
01/07/2005,5928.67,,3632,,110,,
01/08/2005,5928.88,,3796,,164,,
01/09/2005,5928.87,,3788,,-8,,
01/10/2005,5928.86,,3780,,-8,,
01/11/2005,5928.83,,3757,,-23,,
01/12/2005,5928.76,,3702,,-55,,
01/13/2005,5928.70,,3655,,-47,,
01/14/2005,5928.64,,3608,,-47,,
01/15/2005,5928.60,,3577,,-31,,
01/16/2005,5928.56,,3546,,-31,,
01/17/2005,5928.53,,3522,,-24,,
01/18/2005,5928.50,,3499,,-23,,
01/19/2005,5928.48,,3484,,-15,,
01/20/2005,5928.47,,3476,,-8,,
01/21/2005,5928.46,,3468,,-8,,
01/22/2005,5928.46,,3468,,0,,
01/23/2005,5928.46,,3468,,0,,
01/24/2005,5928.46,,3468,,0,,
01/25/2005,5928.48,,3484,,16,,
01/26/2005,5928.54,,3530,,46,,
01/27/2005,5928.55,,3538,,8,,
01/28/2005,5928.59,,3569,,31,,
01/29/2005,5928.57,,3554,,-15,,
01/30/2005,5928.55,,3538,,-16,,
01/31/2005,5928.53,,3522,,-16,,
02/01/2005,5928.52,,3515,,-7,,
02/02/2005,5928.51,,3507,,-8,,
02/03/2005,5928.50,,3499,,-8,,
02/04/2005,5928.49,,3492,,-7,,
02/05/2005,5928.50,,3499,,7,,
02/06/2005,5928.50,,3499,,0,,
02/07/2005,5928.51,,3507,,8,,
02/08/2005,5928.50,,3499,,-8,,
02/09/2005,5928.49,,3492,,-7,,
02/10/2005,5928.48,,3484,,-8,,
02/11/2005,5928.48,,3484,,0,,
02/12/2005,5928.48,,3484,,0,,
02/13/2005,5928.51,,3507,,23,,
02/14/2005,5928.52,,3515,,8,,
02/15/2005,5928.53,,3522,,7,,
02/16/2005,5928.54,,3530,,8,,
02/17/2005,5928.53,,3522,,-8,,
02/18/2005,5928.53,,3522,,0,,
02/19/2005,5928.54,,3530,,8,,
02/20/2005,5928.56,,3546,,16,,
02/21/2005,5928.56,,3546,,0,,
02/22/2005,5928.56,,3546,,0,,
02/23/2005,5928.55,,3538,,-8,,
02/24/2005,5928.54,,3530,,-8,,
02/25/2005,5928.53,,3522,,-8,,
02/26/2005,5928.52,,3515,,-7,,
02/27/2005,5928.54,,3530,,15,,
02/28/2005,5928.55,,3538,,8,,
03/01/2005,5928.54,,3530,,-8,,
03/02/2005,5928.58,,3562,,32,,
03/03/2005,5928.57,,3554,,-8,,
03/04/2005,5928.56,,3546,,-8,,
03/05/2005,5928.56,,3546,,0,,
