Date,RESELE , ,,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,INFLOW , ,,
 ,FEET, ,AF, ,AF, ,CFS, ,CFS, ,
05/16/2004,585.20,,22633,,478,,9020,,9269,,
05/17/2004,585.54,,22846,,213,,8971,,9084,,
05/18/2004,585.32,,22708,,-138,,8373,,8307,,
05/19/2004,585.24,,22658,,-50,,8339,,8316,,
05/20/2004,585.34,,22721,,63,,8001,,8036,,
05/21/2004,585.48,,22808,,87,,8053,,8099,,
05/22/2004,586.22,,23275,,467,,8463,,8701,,
05/23/2004,586.03,,23154,,-121,,8514,,8457,,
05/24/2004,584.04,,21915,,-1239,,8595,,7973,,
05/25/2004,583.73,,21726,,-189,,9525,,9435,,
05/26/2004,583.86,,21805,,79,,9620,,9665,,
05/27/2004,585.43,,22777,,972,,10503,,10999,,
05/28/2004,584.72,,22334,,-443,,10483,,10262,,
05/29/2004,584.79,,22377,,43,,11047,,11072,,
05/30/2004,584.17,,21995,,-382,,11032,,10846,,
05/31/2004,584.25,,22044,,49,,11009,,11040,,
06/01/2004,584.23,,22032,,-12,,11006,,11008,,
06/02/2004,584.04,,21915,,-117,,11017,,10963,,
06/03/2004,584.65,,22291,,376,,11036,,11233,,
06/04/2004,582.15,,20776,,-1515,,11251,,10493,,
06/05/2004,583.19,,21398,,622,,13449,,13769,,
06/06/2004,583.02,,21295,,-103,,13489,,13442,,
06/07/2004,582.85,,21193,,-102,,13920,,13876,,
06/08/2004,581.10,,20159,,-1034,,13634,,13117,,
06/09/2004,583.26,,21441,,1282,,13917,,14568,,
06/10/2004,584.29,,22069,,628,,13934,,14255,,
06/11/2004,585.10,,22570,,501,,13910,,14168,,
06/12/2004,585.02,,22520,,-50,,13915,,13897,,
06/13/2004,584.50,,22199,,-321,,13912,,13757,,
06/14/2004,584.19,,22007,,-192,,13900,,13810,,
06/15/2004,583.55,,21617,,-390,,14562,,14373,,
06/16/2004,584.35,,22106,,489,,14900,,15156,,
06/17/2004,583.44,,21550,,-556,,14972,,14698,,
06/18/2004,583.18,,21392,,-158,,14631,,14558,,
06/19/2004,584.95,,22476,,1084,,14970,,15524,,
06/20/2004,585.42,,22771,,295,,14809,,14964,,
06/21/2004,583.67,,21690,,-1081,,14679,,14140,,
06/22/2004,583.38,,21514,,-176,,14635,,14551,,
06/23/2004,583.85,,21799,,285,,14728,,14878,,
06/24/2004,582.57,,21026,,-773,,14806,,14422,,
06/25/2004,584.67,,22303,,1277,,14730,,15380,,
06/26/2004,584.83,,22402,,99,,14876,,14934,,
06/27/2004,585.65,,22915,,513,,14758,,15025,,
06/28/2004,585.76,,22984,,69,,14736,,14778,,
06/29/2004,584.73,,22340,,-644,,14513,,14195,,
06/30/2004,585.57,,22865,,525,,14591,,14861,,
07/01/2004,584.63,,22279,,-586,,14638,,14349,,
07/02/2004,585.33,,22714,,435,,14726,,14951,,
07/03/2004,585.56,,22859,,145,,14735,,14815,,
07/04/2004,584.86,,22421,,-438,,14677,,14463,,
07/05/2004,585.03,,22526,,105,,14688,,14749,,
07/06/2004,583.24,,21429,,-1097,,14619,,14073,,
07/07/2004,582.38,,20913,,-516,,14509,,14255,,
07/08/2004,583.35,,21495,,582,,14682,,14982,,
07/09/2004,583.61,,21653,,158,,14878,,14965,,
07/10/2004,583.74,,21732,,79,,15530,,15577,,
07/11/2004,585.50,,22821,,1089,,14954,,15509,,
07/12/2004,584.69,,22316,,-505,,14888,,14640,,
07/13/2004,584.92,,22458,,142,,14929,,15006,,
07/14/2004,584.92,,22458,,0,,14881,,14887,,
07/15/2004,586.18,,23250,,792,,14804,,15210,,
07/16/2004,585.70,,22947,,-303,,14847,,14701,,
07/17/2004,585.59,,22878,,-69,,14713,,14686,,
07/18/2004,585.65,,22915,,37,,14752,,14779,,
07/19/2004,585.19,,22626,,-289,,14638,,14498,,
07/20/2004,585.02,,22520,,-106,,14817,,14769,,
07/21/2004,582.24,,20829,,-1691,,15629,,14782,,
07/22/2004,582.60,,21044,,215,,16059,,16174,,
07/23/2004,584.55,,22229,,1185,,16309,,16914,,
07/24/2004,584.56,,22236,,7,,16084,,16097,,
07/25/2004,585.09,,22564,,328,,16051,,16223,,
07/26/2004,584.84,,22408,,-156,,15998,,15926,,
07/27/2004,585.45,,22790,,382,,15631,,15832,,
07/28/2004,585.63,,22903,,113,,15466,,15531,,
07/29/2004,585.95,,23104,,201,,14472,,14580,,
07/30/2004,585.54,,22846,,-258,,14410,,14288,,
07/31/2004,585.26,,22670,,-176,,14484,,14402,,
08/01/2004,584.84,,22408,,-262,,14386,,14261,,
08/02/2004,584.13,,21970,,-438,,14398,,14183,,
08/03/2004,582.16,,20782,,-1188,,13905,,13311,,
08/04/2004,583.27,,21447,,665,,13419,,13759,,
08/05/2004,583.07,,21325,,-122,,13279,,13224,,
08/06/2004,583.59,,21641,,316,,13027,,13191,,
08/07/2004,585.24,,22658,,1017,,12432,,12951,,
08/08/2004,586.12,,23211,,553,,12480,,12766,,
08/09/2004,585.80,,23009,,-202,,12518,,12423,,
08/10/2004,584.92,,22458,,-551,,12476,,12205,,
08/11/2004,584.55,,22229,,-229,,12055,,11947,,
08/12/2004,584.19,,22007,,-222,,11568,,11463,,
08/13/2004,584.28,,22063,,56,,10959,,10994,,
08/14/2004,583.89,,21823,,-240,,10573,,10459,,
08/15/2004,583.43,,21544,,-279,,10520,,10385,,
08/16/2004,586.14,,23224,,1680,,10505,,11358,,
08/17/2004,584.73,,22340,,-884,,10441,,10001,,
08/18/2004,585.65,,22915,,575,,10075,,10371,,
08/19/2004,585.59,,22878,,-37,,9582,,9570,,
08/20/2004,585.37,,22739,,-139,,9542,,9479,,
08/21/2004,584.15,,21983,,-756,,9495,,9120,,
08/22/2004,582.42,,20937,,-1046,,9520,,8999,,
08/23/2004,584.97,,22488,,1551,,9354,,10140,,
08/24/2004,584.12,,21964,,-524,,9049,,8789,,
08/25/2004,582.35,,20895,,-1069,,9477,,8943,,
08/26/2004,582.33,,20883,,-12,,10031,,10029,,
08/27/2004,583.31,,21471,,588,,10007,,10309,,
08/28/2004,584.43,,22155,,684,,9547,,9898,,
08/29/2004,585.12,,22582,,427,,9510,,9731,,
08/30/2004,583.97,,21872,,-710,,9525,,9173,,
08/31/2004,584.22,,22026,,154,,9027,,9112,,
09/01/2004,584.55,,22229,,203,,8511,,8620,,
09/02/2004,585.05,,22538,,309,,8480,,8642,,
09/03/2004,585.01,,22513,,-25,,8963,,8957,,
09/04/2004,585.69,,22940,,427,,8963,,9183,,
09/05/2004,585.54,,22846,,-94,,8964,,8923,,
09/06/2004,584.60,,22260,,-586,,8962,,8672,,
09/07/2004,584.13,,21970,,-290,,8952,,8812,,
09/08/2004,584.51,,22205,,235,,8962,,9086,,
09/09/2004,583.81,,21775,,-430,,8954,,8743,,
09/10/2004,584.75,,22353,,578,,8959,,9256,,
09/11/2004,584.23,,22032,,-321,,8992,,8836,,
09/12/2004,584.54,,22223,,191,,8961,,9062,,
09/13/2004,583.72,,21720,,-503,,8948,,8694,,
09/14/2004,584.44,,22161,,441,,8963,,9190,,
09/15/2004,583.90,,21829,,-332,,8960,,8798,,
09/16/2004,584.59,,22254,,425,,8957,,9176,,
09/17/2004,585.48,,22808,,554,,8892,,9176,,
09/18/2004,584.97,,22488,,-320,,8972,,8817,,
09/19/2004,584.22,,22026,,-462,,8959,,8728,,
09/20/2004,583.99,,21884,,-142,,8983,,8913,,
09/21/2004,583.25,,21435,,-449,,8440,,8217,,
09/22/2004,583.36,,21502,,67,,8375,,8414,,
09/23/2004,584.41,,22143,,641,,8389,,8716,,
09/24/2004,584.32,,22087,,-56,,8035,,8012,,
09/25/2004,584.48,,22186,,99,,8031,,8085,,
09/26/2004,584.91,,22451,,265,,8025,,8163,,
